"","day_num","num_collisions"
"1209","4",645
"1210","4",630
"1211","7",451
"1212","3",697
"1213","2",516
"1215","1",656
"1217","1",657
"1219","7",481
"1221","3",554
"1223","4",566
"1224","5",570
"1225","1",488
"1226","2",598
"1228","6",531
"1229","7",448
"1230","4",660
"1231","4",560
"1232","3",662
"1234","3",613
"1235","5",491
"1236","2",732
"1237","1",514
"1238","5",622
"1239","3",580
"1240","7",393
"1241","5",690
"1242","3",595
"1243","3",536
"1246","2",613
"1248","5",696
"1253","1",565
"1254","3",630
"1259","6",526
"1262","2",452
"1264","2",555
"1267","7",471
"1270","1",630
"1271","4",508
"1273","3",570
"1274","5",676
"1275","1",602
"1277","6",507
"1278","7",468
"1282","4",640
"1284","6",532
"1286","2",600
"1287","3",651
"1288","4",713
"1290","6",576
"1291","5",707
"1292","6",580
"1293","2",672
"1297","4",612
"1298","4",586
"1300","2",513
"1302","5",694
"1303","6",627
"1304","2",437
"1305","2",638
"1307","3",532
"1308","4",452
"1311","3",457
"1312","4",531
"1315","2",723
"1316","5",649
"1318","6",591
"1319","7",585
"1320","7",510
"1322","1",741
"1328","7",510
"1334","1",742
"1335","5",766
"1336","3",676
"1341","6",589
"1343","6",553
"1344","2",689
"1345","3",729
"1346","2",809
"1347","4",694
"1348","1",689
"1349","4",732
"1350","2",647
"1354","5",765
"1355","1",695
"1357","5",650
"1359","3",574
"1362","2",606
"1363","4",684
"1364","1",581
"1365","3",711
"1366","6",650
"1367","2",736
"1368","5",660
"1369","3",669
"1370","5",723
"1371","1",652
"1372","4",698
"1373","4",668
"1375","7",472
"1376","1",658
"1377","7",543
"1380","4",770
"1382","7",547
"1383","6",506
"1384","7",529
"1385","4",663
"1387","1",589
"1388","3",708
"1389","7",549
"1390","2",695
"1391","2",659
"1392","2",647
"1396","2",686
"1397","4",585
"1398","5",709
"1406","1",626
"1407","4",615
"1408","7",555
"1411","4",593
"1412","3",686
"1414","4",744
"1415","6",540
"1417","7",618
"1419","2",778
"1421","1",471
"1422","6",601
"1423","6",649
"1426","7",578
"1427","6",602
"1428","1",719
"1429","1",409
"1430","3",575
"1433","4",686
"1434","6",637
"1435","3",699
"1436","5",805
"1437","3",668
"1439","4",602
"1440","2",650
"1442","5",584
"1443","5",651
"1444","3",599
"1445","4",642
"1446","3",733
"1448","5",742
"1450","5",698
"1451","3",691
"1452","5",660
"1453","2",621
"1455","6",568
"1456","5",767
"1457","5",782
"1459","3",641
"1460","6",475
"1462","3",603
"1464","6",549
"1465","7",474
"1466","4",625
"1467","4",559
"1468","3",532
"1470","4",682
"1471","4",722
"1472","1",420
"1473","6",523
"1474","4",742
"1475","7",432
"1476","2",713
"1477","5",723
"1478","2",645
"1479","2",565
"1481","5",736
"1482","2",654
"1483","3",649
"1485","6",486
"1488","3",693
"1490","6",520
"1491","4",654
"1492","1",646
"1493","2",624
"1494","5",817
"1497","2",760
"1498","1",442
"1499","7",544
"1500","2",697
"1501","1",420
"1503","6",590
"1506","1",561
"1507","1",645
"1508","1",641
"1510","5",698
"1511","2",684
"1512","7",591
"1513","7",571
"1514","3",570
"1515","5",726
"1517","1",433
"1518","4",596
"1520","3",601
"1523","4",685
"1526","4",593
"1527","7",495
"1528","4",735
"1530","1",566
"1532","7",584
"1533","2",592
"1534","7",484
"1536","1",689
"1538","7",555
"1539","7",510
"1541","6",622
"1542","2",651
"1545","1",630
"1546","1",639
"1547","3",753
"1548","7",566
"1550","5",616
"1551","2",565
"1552","6",560
"1553","1",572
"1554","6",685
"1555","7",507
"1556","4",659
"1557","6",627
"1558","5",727
"1561","3",568
"1562","2",694
"1563","2",686
"1565","4",701
"1566","5",668
"1567","3",576
"1568","5",799
"1569","2",608
"1570","1",371
"1571","5",813
"1572","7",514
"1573","3",620
"1577","4",650
"1579","6",583
"1580","6",546
"1582","2",638
"1586","7",529
"1587","3",638
"1589","3",792
"1590","4",663
"1593","3",697
"1594","6",571
"1595","6",602
"1597","6",580
"1599","2",560
"1600","5",642
"1602","7",451
"1603","2",711
"1606","7",515
"1609","6",612
"1610","6",619
"1611","7",633
"1613","1",613
"1614","7",527
"1616","5",776
"1617","6",587
"1619","5",700
"1620","5",776
"1622","7",487
"1623","4",790
"1624","3",666
"1627","7",589
"1628","2",745
"1629","1",638
"1632","5",686
"1635","3",538
"1636","3",653
"1637","6",683
"1640","1",577
"1641","2",743
"1642","3",655
"1643","4",742
"1644","5",728
"1647","1",618
