day_num,year,month,day,collision_date,temp,max_temp,min_temp,humidity,mean_sea_level_pressure,visibility,mean_wind_speed,maximum_sustained_wind_speed,maximum_wind_gust,total_precipitation,snow_depth_inches,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,num_collisions
2,2017,01,10,2017-01-10,27.7,37.9,14.0,15.3,1035.5,10.0,4.0,8.0,14.0,0.0,3.1,0,0,0,0,0,0,557
6,2020,01,18,2020-01-18,23.9,34.0,19.9,6.5,1034.3,7.6,4.0,12.0,22.0,0.0,0.0,1,1,1,0,0,0,707
3,2020,01,15,2020-01-15,45.2,50.0,39.0,35.4,1020.8,7.2,4.0,9.9,17.1,0.07,0.0,0,0,0,0,0,0,453
5,2017,01,20,2017-01-20,41.9,48.9,39.0,33.0,1016.1,9.3,4.0,8.9,,0.0,0.0,0,1,0,0,0,0,566
6,2017,01,21,2017-01-21,42.9,48.9,39.9,41.0,1011.5,5.3,4.0,7.0,14.0,0.1,0.0,0,0,0,0,0,0,437
6,2014,01,04,2014-01-04,15.8,28.0,8.1,-1.4,1031.0,10.0,4.0,8.0,17.1,0.02,5.9,0,0,0,0,0,0,352
6,2017,01,14,2017-01-14,31.1,35.1,28.0,16.4,1038.1,8.4,4.1,8.0,15.0,0.0,0.0,1,0,1,0,0,0,465
4,2016,01,28,2016-01-28,37.0,46.9,32.0,19.3,1015.4,10.0,4.1,12.0,15.9,0.0,9.1,0,0,0,0,0,0,565
2,2020,01,21,2020-01-21,25.1,33.1,19.9,5.0,1029.7,10.0,4.1,8.0,15.0,0.0,0.0,0,0,0,0,0,0,520
4,2020,01,30,2020-01-30,31.3,37.9,25.0,14.3,1024.8,10.0,4.2,8.0,15.0,0.0,0.0,0,0,0,0,0,0,481
3,2015,01,21,2015-01-21,31.4,39.9,25.0,8.9,1019.4,10.0,4.2,7.0,,0.0,0.0,0,0,0,0,0,0,438
2,2015,01,06,2015-01-06,21.0,27.0,19.0,4.8,1026.7,7.3,4.2,9.9,22.0,0.0,0.0,0,0,1,0,0,0,645
5,2016,01,08,2016-01-08,40.2,44.6,35.6,25.5,1022.4,10.0,4.3,8.9,,0.0,0.0,0,0,0,0,0,0,539
2,2013,01,29,2013-01-29,40.3,48.0,34.0,35.3,1018.2,5.3,4.3,8.0,14.0,0.22,1.2,0,1,0,0,0,0,449
1,2014,01,13,2014-01-13,42.7,54.0,37.0,29.3,1018.0,9.8,4.4,9.9,21.0,0.05,0.0,0,0,0,0,0,0,483
5,2017,01,06,2017-01-06,30.2,34.0,27.0,16.0,1016.5,8.0,4.4,8.0,15.0,0.04,0.0,1,0,1,0,0,0,562
2,2018,01,23,2018-01-23,46.7,60.1,37.9,43.4,1008.5,4.4,4.4,11.1,19.0,0.02,0.0,1,1,0,0,0,0,500
2,2017,01,31,2017-01-31,29.3,37.0,26.1,15.8,1013.3,7.5,4.4,8.0,,0.0,0.0,1,0,1,0,0,0,537
3,2018,01,17,2018-01-17,33.6,36.0,25.0,29.9,1025.3,6.4,4.5,9.9,15.9,0.0,0.0,0,0,1,0,0,0,585
5,2013,01,11,2013-01-11,40.5,44.1,37.0,27.1,1030.4,9.4,4.5,7.0,,0.0,0.0,0,1,0,0,0,0,558
2,2020,01,07,2020-01-07,41.2,45.0,32.0,20.3,1016.2,10.0,4.6,8.9,19.0,0.0,0.0,0,0,0,0,0,0,382
1,2017,01,09,2017-01-09,18.6,25.0,14.0,3.1,1037.9,10.0,4.6,8.0,17.1,0.0,3.9,0,0,0,0,0,0,628
3,2013,01,16,2013-01-16,34.2,37.9,32.0,30.0,1018.6,5.4,4.6,12.0,14.0,0.63,0.0,0,1,1,0,0,0,497
2,2016,01,12,2016-01-12,32.2,44.1,25.0,11.5,1013.5,10.0,4.6,9.9,24.1,0.0,0.0,0,0,0,0,0,0,543
2,2014,01,14,2014-01-14,48.3,52.0,37.0,40.0,1009.4,8.5,4.7,8.9,18.1,0.0,0.0,0,1,0,0,0,0,479
1,2020,01,13,2020-01-13,43.3,68.0,37.0,32.2,1029.0,9.8,4.8,8.0,,0.0,0.0,0,0,0,0,0,0,445
6,2020,01,11,2020-01-11,59.3,68.0,51.1,48.1,1024.9,10.0,4.8,7.0,19.0,0.0,0.0,0,0,0,0,0,0,392
5,2018,01,19,2018-01-19,30.4,37.9,18.0,13.7,1017.0,10.0,4.8,8.9,,0.0,0.0,0,0,0,0,0,0,565
4,2013,01,17,2013-01-17,39.2,43.0,36.0,28.0,1015.6,9.7,4.9,8.0,15.9,0.09,0.0,0,0,0,0,0,0,428
1,2017,01,30,2017-01-30,34.6,43.0,30.9,13.9,1007.9,10.0,4.9,9.9,15.9,0.0,0.0,0,0,0,0,0,0,519
4,2020,01,09,2020-01-09,28.2,42.1,23.0,6.2,1035.6,10.0,4.9,12.0,21.0,0.0,0.0,0,0,0,0,0,0,478
6,2015,01,03,2015-01-03,35.5,42.1,33.1,22.4,1032.6,7.6,5.0,8.9,14.0,0.0,0.0,0,1,1,0,0,0,392
5,2014,01,31,2014-01-31,30.7,39.0,16.0,9.9,1021.2,10.0,5.0,8.9,15.9,0.0,1.2,0,0,0,0,0,0,481
4,2016,01,21,2016-01-21,30.9,37.0,26.1,12.5,1019.7,10.0,5.0,8.9,19.0,0.0,0.0,0,0,0,0,0,0,578
7,2017,01,01,2017-01-01,44.8,48.0,43.0,22.9,1017.9,10.0,5.0,9.9,21.0,0.0,0.0,0,0,0,0,0,0,462
3,2014,01,01,2014-01-01,28.2,33.1,21.0,10.7,1026.8,10.0,5.1,8.9,20.0,0.0,0.0,0,0,0,0,0,0,341
4,2017,01,26,2017-01-26,49.2,54.0,45.0,34.4,997.8,9.8,5.1,15.0,27.0,0.0,0.0,0,1,0,0,0,0,525
6,2018,01,27,2018-01-27,42.6,55.9,26.1,28.2,1031.8,10.0,5.1,9.9,18.1,0.0,0.0,0,0,0,0,0,0,485
2,2016,01,26,2016-01-26,41.4,48.0,28.0,26.9,1018.9,9.8,5.1,8.9,25.1,0.0,18.9,0,0,0,0,0,0,638
1,2018,01,08,2018-01-08,22.5,30.0,5.0,7.7,1024.3,9.6,5.1,9.9,24.1,0.0,5.9,0,0,1,0,0,0,675
2,2015,01,20,2015-01-20,37.5,42.1,34.0,20.2,1012.3,10.0,5.1,8.0,17.1,0.0,0.0,0,0,0,0,0,0,409
2,2013,01,08,2013-01-08,40.7,48.0,35.1,25.4,1028.5,9.3,5.1,8.9,22.0,0.0,0.0,0,0,0,0,0,0,432
