"","day_num","max_temp_standardised","num_collisions"
"1960","5",0.434907145908387,749
"1961","7",0.882196047220259,526
"1962","7",1.22325383447056,525
"1963","1",0.882196047220259,659
"1964","7",1.4413071738601,569
"1967","7",1.27357383586815,587
"1968","4",0.485227147305973,634
"1969","3",1.33507605979853,663
"1971","6",1.27357383586815,395
"1972","5",0.658551596564323,818
"1975","7",0.434907145908387,535
"1976","6",0.658551596564323,571
"1977","2",-0.124203980731454,660
"1979","3",0.658551596564323,576
"1980","3",0.597049372633941,615
"1981","3",1.1002493866098,763
"1983","1",0.720053820494705,613
"1984","4",1.04992938521221,833
"1985","5",0.378996033244403,693
"1986","2",-0.409350655317773,642
"1987","1",0.988427161281829,646
"1988","5",-0.0682928680674697,791
"1990","1",0.216853806518849,691
"1991","4",0.328676031846817,686
"1994","6",1.16175161054018,637
"1995","3",1.49162717525769,406
"1997","2",1.49162717525769,678
"1998","2",0.938107159884243,709
"2000","4",1.27357383586815,642
"2007","5",0.988427161281829,700
"2010","4",0.938107159884243,603
"2011","7",0.988427161281829,467
"2012","5",1.1002493866098,685
"2014","7",0.720053820494705,485
"2015","1",0.938107159884243,580
"2016","5",1.27357383586815,650
"2021","5",1.04992938521221,726
"2023","7",1.04992938521221,545
"2025","4",1.04992938521221,605
"2026","3",1.27357383586815,553
"2030","1",1.1002493866098,557
"2031","7",1.1002493866098,463
"2032","3",1.22325383447056,654
"2033","7",1.33507605979853,521
"2035","4",1.4413071738601,603
"2041","2",1.27357383586815,706
"2042","1",1.27357383586815,656
"2044","6",1.27357383586815,597
"2047","3",1.04992938521221,565
"2050","6",1.27357383586815,602
"2051","4",1.4413071738601,740
"2052","7",1.49162717525769,554
"2053","7",0.938107159884243,498
"2056","6",1.16175161054018,550
"2057","5",1.22325383447056,490
"2058","2",1.27357383586815,657
"2059","1",0.988427161281829,598
"2060","7",1.72645384844642,563
"2062","1",1.38539606119612,719
"2066","4",1.60344940058565,774
"2068","4",0.988427161281829,606
"2070","1",1.22325383447056,639
"2072","4",1.1002493866098,739
"2074","1",1.16175161054018,592
"2075","2",0.938107159884243,601
"2076","3",0.988427161281829,553
"2078","1",0.770373821892291,530
"2079","2",1.66495162451604,643
"2081","1",1.22325383447056,672
"2082","2",1.4413071738601,658
"2083","5",1.38539606119612,542
"2085","2",1.16175161054018,587
"2086","4",1.38539606119612,394
"2087","1",1.33507605979853,668
"2088","3",1.4413071738601,680
"2090","7",0.658551596564323,448
"2091","2",1.16175161054018,663
"2092","3",1.4413071738601,690
"2093","4",1.27357383586815,577
"2096","2",1.27357383586815,424
"2098","5",0.882196047220259,549
"2101","4",0.720053820494705,610
"2102","4",1.66495162451604,709
"2103","3",1.27357383586815,688
"2104","4",1.38539606119612,720
"2105","3",1.16175161054018,551
"2107","7",1.22325383447056,515
"2109","2",1.60344940058565,606
"2110","6",1.49162717525769,648
