"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","max_temp_standardised","num_collisions"
"60",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,-0.851048445363247,0.41869918699187
"61",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,-1.52757290859745,0.658536585365854
"62",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,-1.0243728946216,0.467479674796748
"63",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,-1.52757290859745,0.461382113821138
"64",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,-1.41575068326949,0.315040650406504
"65",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,-0.739226220035278,0.132113821138211
"66",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,-1.96927069864293,0.59349593495935
"67",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,-1.0243728946216,0.247967479674797
"68",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,-1.74562624798699,0.313008130081301
"69",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,-0.34784843138739,0.292682926829268
"70",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,-1.74562624798699,0.396341463414634
"71",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,-1.85744847331496,0.398373983739837
"72",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,-1.52757290859745,0.278455284552846
"73",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,-1.18092401008075,0.678861788617886
"74",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,-0.912550669293629,0.272357723577236
"75",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,-0.912550669293629,0.209349593495935
"76",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,-0.912550669293629,0.117886178861789
"77",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,-1.24242623401113,0.617886178861789
"78",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,-0.521172880645741,0.119918699186992
"79",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,-0.789546221432864,0.75
"80",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,-1.63380402265902,0.536585365853659
"81",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,0.378996033244403,0.384146341463415
"82",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,-0.912550669293629,0.247967479674797
"83",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,-0.912550669293629,0.51219512195122
"84",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,-1.52757290859745,0.495934959349593
"85",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,-1.74562624798699,0.855691056910569
"86",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,-0.851048445363247,0.315040650406504
"87",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,-2.0810929239709,0.132113821138211
"88",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,-1.0243728946216,0.666666666666667
